City,"Meal Inexpensive Restaurant","Meal for 2 People Mid-range Restaurant Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (1 pint draught),Imported Beer (12 oz small bottle),Cappuccino (regular),Coke/Pepsi (12 oz small bottle),Water (12 oz small bottle),Markets,"Milk (regular) (1 gallon)",Loaf of Fresh White Bread (1 lb),"Rice (white) (1 lb)",Eggs (regular) (12),Local Cheese (1 lb),Chicken Fillets (1 lb),Beef Round (1 lb) (or Equivalent Back Leg Red Meat),Apples (1 lb),Banana (1 lb),Oranges (1 lb),Tomato (1 lb),Potato (1 lb),Onion (1 lb),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (12 oz small bottle),Cigarettes 20 Pack (Marlboro),Transportation,One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1 mile (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 gallon),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),Utilities (Monthly),"Basic (Electricity Heating Cooling Water Garbage) for 915 sq ft Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Sports And Leisure,"Fitness Club Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema International Release 1 Seat",Childcare,"Preschool (or Kindergarten) Full Day Private Monthly for 1 Child","International Primary School Yearly for 1 Child",Clothing And Shoes 1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara H&M ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Rent Per Month,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Buy Apartment Price,Price per Square Feet to Buy Apartment in City Centre,Price per Square Feet to Buy Apartment Outside of Centre,Salaries And Financing,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%) Yearly for 20 Years Fixed-Rate",Country
Bedford,20.12 €,57.19 €,6.90 €,3.45 €,3.74 €,3.28 €,1.59 €,1.08 €,Edit,3.86 €,1.01 €,0.46 €,1.59 €,2.50 €,2.76 €,4.15 €,1.03 €,0.53 €,0.74 €,0.65 €,0.43 €,0.45 €,0.69 €,1.13 €,11.50 €,2.83 €,2.49 €,11.50 €,Edit,2.76 €,72.47 €,3.68 €,4.98 €,10.35 €,5.59 €,"28,737.76 €","27,013.49 €",Edit,164.26 €,0.11 €,48.05 €,Edit,34.48 €,20.12 €,12.06 €,Edit,"1,277.97 €","18,966.92 €",Edit,81.33 €,34.49 €,80.46 €,69.88 €,Edit,765.57 €,632.23 €,"1,293.20 €","1,135.14 €",Edit,357.75 €,315.04 €,Edit,"2,400.18 €",3.90,United Kingdom
Knoxville,10.82 €,41.60 €,6.66 €,2.91 €,3.54 €,3.57 €,1.21 €,1.13 €,Edit,2.63 €,1.86 €,1.19 €,1.65 €,4.10 €,2.66 €,4.09 €,2.04 €,0.50 €,1.61 €,1.38 €,0.99 €,0.81 €,1.10 €,1.53 €,9.98 €,2.40 €,3.22 €,4.85 €,Edit,1.25 €,37.44 €,1.66 €,1.66 €,12.48 €,1.85 €,"18,302.90 €","17,435.31 €",Edit,120.04 €,0.15 €,55.20 €,Edit,21.74 €,6.24 €,9.98 €,Edit,436.77 €,"11,231.32 €",Edit,39.56 €,31.97 €,83.08 €,66.87 €,Edit,915.14 €,693.29 €,"1,693.61 €","1,044.56 €",Edit,211.04 €,78.49 €,Edit,"2,500.52 €",3.75,United States
Mecca,4.21 €,17.75 €,6.10 €,0.94 €,1.00 €,2.26 €,0.55 €,0.22 €,Edit,4.09 €,0.30 €,0.91 €,2.66 €,1.46 €,2.01 €,3.56 €,0.93 €,0.87 €,0.80 €,0.80 €,0.50 €,0.30 €,0.67 €,0.59 €,2.66 €,0.89 €,0.89 €,5.32 €,Edit,0.89 €,22.18 €,2.22 €,1.09 €,7.76 €,1.31 €,"15,749.40 €","14,640.29 €",Edit,72.73 €,0.11 €,53.16 €,Edit,85.96 €,41.59 €,16.64 €,Edit,198.25 €,"2,865.95 €",Edit,24.40 €,34.07 €,61.95 €,68.10 €,Edit,269.88 €,216.28 €,490.23 €,397.43 €,Edit,343.46 €,62.34 €,Edit,"1,081.38 €",4.08,Saudi Arabia
Syracuse,12.48 €,41.60 €,6.66 €,3.33 €,4.58 €,2.16 €,1.60 €,1.33 €,Edit,2.13 €,2.17 €,2.76 €,1.24 €,4.67 €,3.02 €,6.24 €,2.44 €,0.43 €,2.70 €,2.07 €,1.18 €,1.74 €,1.29 €,1.35 €,9.98 €,2.10 €,2.36 €,9.98 €,Edit,1.66 €,41.60 €,2.33 €,2.66 €,16.64 €,2.15 €,"22,462.65 €","18,857.53 €",Edit,91.17 €,0.17 €,52.93 €,Edit,26.41 €,24.96 €,9.98 €,Edit,693.29 €,"12,479.25 €",Edit,32.76 €,24.50 €,63.58 €,64.77 €,Edit,834.68 €,594.25 €,"1,628.13 €",968.63 €,Edit,81.61 €,37.33 €,Edit,"2,035.30 €",4.05,United States
Rochester,12.48 €,45.76 €,6.45 €,4.15 €,4.99 €,3.13 €,1.65 €,1.44 €,Edit,2.18 €,2.02 €,2.00 €,1.53 €,3.82 €,1.89 €,4.60 €,1.19 €,0.52 €,1.62 €,2.26 €,1.03 €,1.13 €,1.51 €,1.25 €,11.02 €,3.01 €,3.05 €,9.15 €,Edit,0.83 €,46.59 €,2.50 €,3.33 €,24.96 €,2.18 €,"20,463.89 €","19,408.68 €",Edit,129.25 €,0.16 €,54.01 €,Edit,36.40 €,27.04 €,9.98 €,Edit,582.36 €,"9,428.77 €",Edit,35.96 €,30.31 €,56.16 €,77.48 €,Edit,796.80 €,747.41 €,"1,082.92 €","1,119.60 €",Edit,106.25 €,51.26 €,Edit,"2,572.39 €",3.90,United States
Kiel,7.65 €,42.00 €,8.00 €,3.80 €,2.65 €,2.78 €,2.44 €,2.12 €,Edit,2.65 €,1.17 €,0.96 €,2.27 €,3.24 €,3.56 €,4.64 €,1.01 €,0.74 €,0.80 €,1.06 €,0.45 €,0.61 €,0.69 €,0.31 €,4.99 €,0.70 €,1.15 €,6.40 €,Edit,2.60 €,60.00 €,3.30 €,3.10 €,30.00 €,5.55 €,"20,500.00 €","18,500.00 €",Edit,247.58 €,0.10 €,33.30 €,Edit,31.25 €,20.00 €,13.00 €,Edit,340.00 €,"14,000.00 €",Edit,86.00 €,40.00 €,100.00 €,132.50 €,Edit,500.00 €,370.00 €,"1,081.67 €",712.50 €,Edit,572.90 €,232.26 €,Edit,"2,912.50 €",2.38,Germany
Providence,11.65 €,56.16 €,7.90 €,3.33 €,4.99 €,3.01 €,1.56 €,1.33 €,Edit,2.89 €,1.94 €,2.18 €,2.01 €,3.68 €,2.55 €,6.01 €,2.02 €,0.58 €,1.94 €,2.77 €,1.61 €,1.19 €,2.29 €,2.50 €,10.82 €,1.69 €,1.37 €,9.15 €,Edit,1.66 €,58.24 €,2.91 €,2.91 €,24.96 €,1.96 €,"21,137.77 €","17,295.96 €",Edit,171.21 €,0.06 €,71.03 €,Edit,24.96 €,6.45 €,10.50 €,Edit,953.28 €,"9,595.16 €",Edit,35.89 €,26.15 €,67.91 €,84.98 €,Edit,"1,488.88 €","1,440.73 €","1,613.15 €","1,384.73 €",Edit,264.77 €,119.48 €,Edit,"2,631.46 €",4.50,United States
Hamilton,10.83 €,50.76 €,8.12 €,4.06 €,4.74 €,2.66 €,1.52 €,1.07 €,Edit,5.86 €,1.70 €,1.03 €,2.24 €,3.38 €,3.99 €,3.55 €,1.17 €,0.48 €,0.96 €,1.27 €,0.63 €,0.79 €,1.48 €,1.45 €,10.15 €,1.71 €,2.09 €,10.15 €,Edit,2.03 €,74.45 €,2.64 €,1.96 €,22.62 €,2.71 €,"16,920.70 €","16,054.36 €",Edit,119.28 €,0.17 €,54.85 €,Edit,27.24 €,12.18 €,10.15 €,Edit,879.88 €,"7,806.08 €",Edit,40.09 €,32.88 €,71.71 €,87.52 €,Edit,935.63 €,807.97 €,"1,385.51 €","1,291.94 €",Edit,343.78 €,231.12 €,Edit,"2,116.53 €",3.23,Canada
Bern,22.32 €,91.10 €,12.30 €,5.47 €,5.47 €,4.18 €,3.43 €,2.95 €,Edit,5.00 €,1.69 €,1.23 €,4.53 €,9.62 €,9.85 €,16.53 €,1.60 €,1.09 €,1.57 €,1.74 €,1.03 €,1.14 €,2.38 €,0.49 €,10.93 €,1.58 €,2.13 €,7.79 €,Edit,4.01 €,71.97 €,6.19 €,5.79 €,65.59 €,5.39 €,"29,152.77 €","38,103.59 €",Edit,191.59 €,0.21 €,51.17 €,Edit,75.08 €,32.07 €,16.40 €,Edit,"1,928.33 €","25,280.92 €",Edit,96.80 €,37.01 €,102.74 €,109.32 €,Edit,"1,306.97 €",956.58 €,"2,302.41 €","1,679.32 €",Edit,666.03 €,639.00 €,Edit,"4,872.29 €",1.62,Switzerland
Bremen,10.00 €,50.00 €,7.25 €,3.50 €,3.25 €,2.88 €,1.53 €,1.44 €,Edit,3.43 €,1.18 €,0.91 €,2.07 €,3.55 €,3.09 €,4.03 €,1.07 €,0.75 €,0.69 €,1.11 €,0.53 €,0.48 €,1.14 €,0.32 €,4.99 €,0.67 €,1.49 €,6.40 €,Edit,2.80 €,66.30 €,3.50 €,3.46 €,28.20 €,5.41 €,"23,000.00 €","22,633.33 €",Edit,232.90 €,0.12 €,31.86 €,Edit,20.56 €,13.33 €,7.00 €,Edit,359.25 €,"18,625.00 €",Edit,71.29 €,32.14 €,77.50 €,119.99 €,Edit,688.57 €,472.50 €,"1,271.43 €",807.14 €,Edit,357.67 €,232.26 €,Edit,"2,181.66 €",2.19,Germany
Kochi,1.52 €,6.74 €,3.14 €,1.46 €,2.25 €,1.08 €,0.39 €,0.16 €,Edit,1.99 €,0.40 €,0.23 €,0.73 €,2.53 €,1.24 €,1.70 €,0.70 €,0.23 €,0.32 €,0.19 €,0.19 €,0.21 €,0.50 €,0.31 €,6.74 €,1.52 €,2.06 €,4.49 €,Edit,0.14 €,5.33 €,1.68 €,0.45 €,0.67 €,3.29 €,"10,105.27 €","18,133.34 €",Edit,22.45 €,0.01 €,8.05 €,Edit,11.26 €,10.11 €,2.13 €,Edit,63.51 €,647.86 €,Edit,24.61 €,17.72 €,31.42 €,28.07 €,Edit,111.16 €,79.00 €,279.20 €,172.91 €,Edit,67.63 €,40.45 €,Edit,362.47 €,8.07,India
Decatur,9.98 €,41.60 €,6.24 €,2.50 €,3.74 €,3.61 €,1.36 €,1.11 €,Edit,1.83 €,1.25 €,2.25 €,1.21 €,2.66 €,1.79 €,3.32 €,1.36 €,0.43 €,0.95 €,1.39 €,0.83 €,0.83 €,1.19 €,1.25 €,9.15 €,1.72 €,2.54 €,5.41 €,Edit,0.83 €,33.28 €,3.33 €,1.66 €,24.96 €,2.05 €,"19,297.08 €","16,639.00 €",Edit,158.29 €,0.14 €,56.85 €,Edit,29.12 €,16.64 €,9.98 €,Edit,636.44 €,"8,042.18 €",Edit,29.67 €,22.19 €,52.69 €,47.84 €,Edit,388.24 €,426.37 €,617.03 €,571.97 €,Edit,?,?,Edit,"2,307.00 €",4.44,United States
Madison,12.06 €,45.76 €,6.66 €,4.16 €,4.16 €,3.45 €,1.35 €,1.07 €,Edit,2.47 €,2.24 €,1.83 €,1.93 €,3.78 €,4.31 €,4.81 €,1.16 €,0.43 €,1.29 €,1.01 €,0.93 €,0.86 €,1.13 €,1.80 €,8.74 €,1.48 €,2.47 €,6.74 €,Edit,1.66 €,54.08 €,3.33 €,2.16 €,32.45 €,1.91 €,"17,054.97 €","16,877.15 €",Edit,97.27 €,0.12 €,47.77 €,Edit,45.34 €,10.82 €,9.98 €,Edit,796.18 €,"7,903.52 €",Edit,40.23 €,31.61 €,59.17 €,79.87 €,Edit,"1,021.91 €",797.77 €,"1,689.30 €","1,309.81 €",Edit,271.34 €,137.50 €,Edit,"3,072.93 €",3.64,United States
Sunnyvale,12.48 €,49.92 €,6.66 €,5.82 €,6.24 €,3.26 €,1.39 €,1.08 €,Edit,3.83 €,3.61 €,1.79 €,3.74 €,6.38 €,2.63 €,3.33 €,1.53 €,0.97 €,1.38 €,1.80 €,1.19 €,1.61 €,1.71 €,1.97 €,12.48 €,1.07 €,1.14 €,8.22 €,Edit,2.50 €,133.11 €,2.66 €,2.41 €,28.29 €,2.95 €,"18,173.95 €","15,793.18 €",Edit,93.66 €,0.17 €,41.22 €,Edit,39.22 €,14.14 €,12.48 €,Edit,"1,554.71 €","15,723.86 €",Edit,47.32 €,34.47 €,68.53 €,87.82 €,Edit,"2,514.45 €","2,057.46 €","4,034.96 €","3,601.15 €",Edit,"1,315.51 €",848.98 €,Edit,"6,396.03 €",4.38,United States
Columbus,12.48 €,49.92 €,6.66 €,4.16 €,4.99 €,3.30 €,1.66 €,1.30 €,Edit,2.19 €,1.75 €,1.49 €,1.49 €,4.71 €,3.19 €,4.89 €,1.97 €,0.49 €,1.45 €,1.61 €,1.14 €,0.87 €,1.31 €,1.15 €,9.15 €,2.36 €,2.42 €,6.03 €,Edit,1.66 €,51.58 €,2.70 €,2.43 €,18.72 €,2.03 €,"19,966.80 €","18,219.70 €",Edit,152.34 €,0.20 €,50.78 €,Edit,33.80 €,13.52 €,9.78 €,Edit,949.37 €,"15,495.07 €",Edit,35.77 €,26.36 €,62.51 €,80.22 €,Edit,988.71 €,734.21 €,"1,548.64 €","1,160.33 €",Edit,286.83 €,90.05 €,Edit,"3,420.21 €",3.88,United States
Waterford,15.00 €,50.00 €,8.72 €,5.00 €,4.60 €,2.94 €,1.40 €,1.00 €,Edit,3.46 €,0.98 €,0.62 €,2.53 €,3.38 €,3.64 €,3.99 €,0.94 €,0.67 €,1.06 €,1.04 €,0.62 €,0.54 €,0.90 €,0.82 €,8.00 €,2.15 €,2.75 €,13.00 €,Edit,2.50 €,65.00 €,3.80 €,1.83 €,24.00 €,5.41 €,"27,750.00 €","25,500.00 €",Edit,178.48 €,0.21 €,51.50 €,Edit,43.75 €,18.33 €,9.62 €,Edit,665.33 €,"7,833.33 €",Edit,63.75 €,38.75 €,78.00 €,90.00 €,Edit,806.25 €,698.33 €,"1,241.67 €","1,133.33 €",Edit,139.35 €,140.28 €,Edit,"1,950.00 €",4.13,Ireland
Kingston,12.52 €,52.45 €,7.95 €,4.06 €,4.74 €,2.62 €,1.53 €,1.21 €,Edit,8.64 €,2.03 €,2.15 €,2.42 €,3.25 €,4.05 €,3.15 €,1.26 €,0.78 €,1.06 €,1.20 €,1.30 €,0.92 €,1.56 €,1.86 €,11.51 €,1.98 €,2.14 €,11.84 €,Edit,2.03 €,54.15 €,2.71 €,2.02 €,28.70 €,2.89 €,"16,920.70 €","15,567.04 €",Edit,116.07 €,0.51 €,51.13 €,Edit,30.56 €,9.48 €,9.31 €,Edit,"1,128.05 €","27,073.11 €",Edit,42.87 €,24.96 €,65.14 €,79.53 €,Edit,848.13 €,685.29 €,"1,472.10 €","1,049.08 €",Edit,401.59 €,307.08 €,Edit,"1,926.77 €",3.89,Canada
Exeter,12.64 €,40.23 €,6.90 €,4.60 €,3.68 €,2.91 €,1.54 €,1.19 €,Edit,4.13 €,0.90 €,0.53 €,2.38 €,2.32 €,3.26 €,4.04 €,0.85 €,0.51 €,0.78 €,0.57 €,0.49 €,0.48 €,1.08 €,1.28 €,8.05 €,1.91 €,1.82 €,12.07 €,Edit,3.56 €,74.72 €,3.45 €,2.46 €,18.62 €,5.58 €,"25,289.23 €","26,503.40 €",Edit,194.46 €,0.12 €,35.76 €,Edit,39.47 €,12.89 €,12.64 €,Edit,996.24 €,"20,834.87 €",Edit,87.86 €,41.76 €,68.25 €,83.34 €,Edit,803.38 €,667.29 €,"1,390.91 €",960.56 €,Edit,349.44 €,323.94 €,Edit,"2,412.75 €",3.23,United Kingdom
Lincoln,12.48 €,43.68 €,6.66 €,3.33 €,4.58 €,3.12 €,1.58 €,1.31 €,Edit,2.57 €,1.71 €,0.96 €,1.59 €,5.75 €,5.30 €,6.55 €,1.80 €,0.76 €,1.16 €,1.22 €,0.91 €,1.40 €,1.78 €,2.36 €,7.07 €,1.01 €,1.47 €,4.99 €,Edit,1.46 €,27.66 €,2.50 €,1.92 €,29.12 €,1.96 €,"15,807.05 €","18,302.90 €",Edit,111.01 €,0.17 €,58.59 €,Edit,33.28 €,10.40 €,8.74 €,Edit,679.43 €,?,Edit,37.02 €,30.16 €,61.56 €,77.85 €,Edit,738.25 €,586.41 €,"1,040.15 €","1,105.31 €",Edit,227.36 €,92.42 €,Edit,"2,528.30 €",4.46,United States
Lexington,7.90 €,41.60 €,4.99 €,2.91 €,4.16 €,3.67 €,1.90 €,1.23 €,Edit,1.94 €,1.67 €,1.47 €,1.43 €,3.33 €,2.38 €,5.15 €,1.75 €,0.46 €,1.39 €,1.30 €,0.76 €,0.78 €,1.09 €,1.46 €,9.98 €,1.79 €,2.20 €,4.75 €,Edit,0.83 €,24.96 €,2.08 €,2.08 €,20.80 €,1.88 €,"16,639.00 €","16,223.02 €",Edit,133.96 €,0.07 €,58.88 €,Edit,24.60 €,13.59 €,9.57 €,Edit,429.49 €,"9,151.45 €",Edit,31.30 €,31.26 €,72.97 €,83.31 €,Edit,701.64 €,596.24 €,"1,216.73 €",897.32 €,Edit,146.28 €,81.04 €,Edit,"2,581.33 €",3.79,United States
Hanover,10.00 €,47.50 €,8.00 €,3.50 €,3.00 €,2.65 €,2.22 €,2.06 €,Edit,3.29 €,0.93 €,0.81 €,2.16 €,3.70 €,3.36 €,4.03 €,1.10 €,0.93 €,0.90 €,1.17 €,0.68 €,0.54 €,1.14 €,0.26 €,4.99 €,0.70 €,1.54 €,6.40 €,Edit,3.00 €,70.00 €,3.20 €,3.22 €,30.00 €,5.28 €,"20,940.00 €","21,966.67 €",Edit,210.10 €,0.10 €,35.05 €,Edit,29.50 €,20.60 €,12.00 €,Edit,367.17 €,"13,750.00 €",Edit,80.12 €,36.25 €,74.38 €,103.62 €,Edit,588.62 €,488.33 €,"1,308.67 €",983.11 €,Edit,401.24 €,328.30 €,Edit,"2,339.89 €",2.02,Germany
Plymouth,12.64 €,68.97 €,5.75 €,4.60 €,4.02 €,3.12 €,1.59 €,1.22 €,Edit,3.85 €,0.99 €,0.57 €,2.14 €,3.16 €,3.16 €,3.48 €,1.10 €,0.58 €,1.03 €,1.15 €,0.51 €,0.61 €,0.62 €,0.82 €,8.05 €,2.15 €,2.44 €,12.64 €,Edit,3.45 €,64.37 €,3.45 €,2.39 €,13.79 €,5.17 €,"24,139.72 €","23,564.96 €",Edit,201.52 €,0.16 €,30.61 €,Edit,31.90 €,14.56 €,7.76 €,Edit,536.44 €,?,Edit,68.11 €,37.04 €,71.70 €,70.69 €,Edit,608.52 €,535.24 €,"1,099.22 €",912.42 €,Edit,303.02 €,217.59 €,Edit,"1,982.31 €",3.66,United Kingdom
Medina,4.44 €,22.18 €,5.55 €,1.11 €,1.11 €,2.33 €,0.54 €,0.18 €,Edit,4.53 €,0.62 €,0.91 €,4.14 €,2.28 €,1.91 €,4.02 €,0.74 €,0.84 €,0.77 €,0.80 €,0.78 €,0.78 €,1.77 €,0.50 €,2.22 €,1.77 €,1.70 €,5.88 €,Edit,0.67 €,61.00 €,2.22 €,3.57 €,6.65 €,1.26 €,"14,418.46 €","16,137.59 €",Edit,84.34 €,0.09 €,64.33 €,Edit,52.04 €,30.50 €,14.97 €,Edit,326.57 €,"2,634.14 €",Edit,40.67 €,47.14 €,84.29 €,99.82 €,Edit,503.87 €,280.98 €,554.56 €,374.58 €,Edit,61.40 €,30.91 €,Edit,"1,501.00 €",4.00,Saudi Arabia
Dayton,9.98 €,41.60 €,6.24 €,3.33 €,4.99 €,3.13 €,1.76 €,1.07 €,Edit,1.77 €,1.78 €,1.05 €,0.89 €,2.84 €,2.54 €,4.98 €,1.70 €,0.43 €,3.01 €,2.21 €,0.69 €,0.73 €,1.25 €,1.80 €,11.65 €,1.94 €,2.36 €,6.03 €,Edit,1.66 €,45.76 €,5.20 €,2.08 €,?,2.06 €,"22,270.47 €","19,449.60 €",Edit,109.33 €,0.33 €,50.81 €,Edit,28.07 €,29.12 €,9.98 €,Edit,707.16 €,"6,655.60 €",Edit,32.19 €,23.39 €,56.95 €,66.71 €,Edit,767.47 €,539.21 €,"1,315.52 €",823.04 €,Edit,218.95 €,50.79 €,Edit,"2,043.55 €",4.07,United States
Crystal-Lake,13.31 €,45.76 €,7.49 €,3.74 €,4.99 €,3.74 €,1.55 €,1.32 €,Edit,1.98 €,1.58 €,0.83 €,2.22 €,5.82 €,1.41 €,4.15 €,0.98 €,0.47 €,1.25 €,1.41 €,0.42 €,0.61 €,1.25 €,1.04 €,8.32 €,1.06 €,1.08 €,4.99 €,Edit,6.66 €,?,4.99 €,2.70 €,?,2.16 €,"20,307.07 €","16,306.22 €",Edit,111.74 €,0.08 €,44.09 €,Edit,11.09 €,?,9.98 €,Edit,930.62 €,"13,502.55 €",Edit,27.04 €,29.12 €,56.74 €,69.05 €,Edit,859.68 €,665.56 €,"2,079.87 €","1,164.73 €",Edit,?,?,Edit,"1,331.12 €",3.75,United States
Washington,12.48 €,66.56 €,6.66 €,5.62 €,6.66 €,3.81 €,1.98 €,1.67 €,Edit,2.90 €,2.21 €,1.96 €,2.30 €,4.48 €,4.06 €,5.68 €,2.20 €,0.55 €,2.11 €,1.66 €,0.89 €,0.96 €,1.89 €,1.55 €,9.98 €,2.29 €,2.20 €,9.57 €,Edit,2.91 €,99.83 €,2.91 €,2.79 €,24.96 €,2.17 €,"19,966.80 €","17,278.28 €",Edit,130.51 €,0.13 €,52.27 €,Edit,64.96 €,12.06 €,11.65 €,Edit,"1,457.85 €","28,689.59 €",Edit,47.92 €,32.67 €,73.98 €,101.31 €,Edit,"1,953.55 €","1,521.83 €","3,509.11 €","2,707.83 €",Edit,563.87 €,292.25 €,Edit,"4,484.18 €",3.67,United States
Fairfield,12.06 €,49.92 €,6.66 €,4.99 €,4.99 €,3.88 €,1.94 €,1.46 €,Edit,3.14 €,2.15 €,0.62 €,2.77 €,4.26 €,2.50 €,6.38 €,1.66 €,0.69 €,1.15 €,1.04 €,1.03 €,1.04 €,1.66 €,0.83 €,8.32 €,1.66 €,1.87 €,8.32 €,Edit,1.46 €,?,1.87 €,1.87 €,?,2.73 €,"19,134.85 €","16,639.00 €",Edit,117.14 €,0.21 €,44.09 €,Edit,31.20 €,20.80 €,9.98 €,Edit,"1,435.11 €","19,134.85 €",Edit,41.60 €,29.12 €,66.56 €,78.76 €,Edit,"1,289.52 €","1,275.66 €","1,955.08 €","1,996.68 €",Edit,?,?,Edit,"3,420.98 €",4.48,United States
Lawrence,11.93 €,41.60 €,4.99 €,3.33 €,4.99 €,3.63 €,1.68 €,1.48 €,Edit,2.11 €,1.77 €,1.13 €,1.25 €,3.88 €,3.61 €,4.97 €,1.65 €,0.60 €,1.44 €,1.25 €,0.81 €,1.02 €,1.14 €,1.27 €,9.98 €,1.66 €,1.79 €,5.82 €,Edit,0.83 €,22.46 €,2.08 €,2.08 €,29.12 €,1.73 €,"15,364.04 €","17,647.32 €",Edit,157.16 €,0.07 €,49.91 €,Edit,52.69 €,16.64 €,8.32 €,Edit,742.10 €,"6,655.60 €",Edit,42.39 €,29.43 €,67.39 €,71.76 €,Edit,644.76 €,546.31 €,"1,053.80 €",783.42 €,Edit,147.25 €,108.87 €,Edit,"2,442.61 €",3.67,United States
Peterborough,12.00 €,57.48 €,5.74 €,3.74 €,4.02 €,3.62 €,1.37 €,0.92 €,Edit,4.45 €,0.85 €,0.54 €,2.83 €,5.02 €,2.78 €,7.82 €,1.73 €,0.71 €,1.82 €,1.82 €,1.01 €,0.64 €,0.77 €,0.96 €,8.05 €,2.20 €,3.03 €,13.25 €,Edit,4.02 €,73.72 €,3.10 €,1.96 €,13.79 €,5.49 €,"20,691.18 €","13,219.37 €",Edit,174.63 €,0.18 €,37.11 €,Edit,40.23 €,8.33 €,11.50 €,Edit,823.82 €,"13,679.17 €",Edit,67.82 €,32.02 €,63.94 €,80.47 €,Edit,753.65 €,608.28 €,"1,067.40 €",890.05 €,Edit,363.09 €,181.55 €,Edit,"1,817.66 €",3.03,United Kingdom
Lynchburg,9.15 €,41.60 €,5.41 €,3.33 €,4.58 €,2.60 €,1.42 €,1.04 €,Edit,2.16 €,1.79 €,1.48 €,1.72 €,3.19 €,2.08 €,4.71 €,1.66 €,0.58 €,1.66 €,1.94 €,1.39 €,1.05 €,1.47 €,1.55 €,7.48 €,1.55 €,2.77 €,4.99 €,Edit,1.66 €,41.60 €,1.66 €,1.66 €,?,1.78 €,"14,975.10 €","17,054.97 €",Edit,131.73 €,?,63.78 €,Edit,32.47 €,?,9.98 €,Edit,415.97 €,?,Edit,25.65 €,21.84 €,55.19 €,71.21 €,Edit,673.19 €,509.57 €,"1,227.13 €",915.14 €,Edit,?,?,Edit,"2,014.15 €",4.91,United States
Columbia,8.32 €,49.92 €,5.82 €,2.50 €,4.16 €,3.90 €,1.74 €,1.13 €,Edit,2.13 €,1.91 €,1.12 €,1.54 €,3.71 €,2.51 €,5.32 €,1.41 €,1.03 €,1.30 €,1.63 €,0.66 €,0.83 €,1.66 €,1.18 €,13.31 €,1.68 €,1.91 €,5.20 €,Edit,1.66 €,33.28 €,1.66 €,2.08 €,15.39 €,1.80 €,"19,134.85 €","19,412.17 €",Edit,139.77 €,0.08 €,51.27 €,Edit,18.42 €,5.55 €,7.70 €,Edit,561.57 €,?,Edit,28.81 €,22.88 €,56.57 €,71.34 €,Edit,840.27 €,657.55 €,"1,331.12 €","1,055.33 €",Edit,138.37 €,59.80 €,Edit,"2,287.86 €",4.01,United States
Genoa,15.00 €,52.50 €,8.00 €,5.00 €,4.00 €,1.30 €,2.39 €,1.00 €,Edit,5.08 €,1.58 €,1.08 €,3.83 €,8.42 €,3.77 €,8.23 €,1.04 €,0.83 €,1.18 €,1.20 €,0.81 €,0.62 €,1.20 €,0.55 €,8.00 €,1.57 €,2.01 €,5.80 €,Edit,1.50 €,46.00 €,5.00 €,1.45 €,24.00 €,6.19 €,"24,200.00 €","28,333.33 €",Edit,129.91 €,0.18 €,30.32 €,Edit,48.47 €,18.20 €,9.00 €,Edit,597.50 €,"12,125.00 €",Edit,86.73 €,29.12 €,84.44 €,111.11 €,Edit,574.71 €,401.18 €,953.57 €,704.17 €,Edit,289.74 €,126.81 €,Edit,"1,301.54 €",2.17,Italy
Salem,9.98 €,44.72 €,6.66 €,3.95 €,4.99 €,3.14 €,1.69 €,0.92 €,Edit,2.44 €,1.75 €,1.97 €,2.07 €,4.50 €,3.31 €,7.69 €,1.85 €,0.65 €,2.55 €,1.89 €,0.78 €,0.81 €,1.30 €,1.55 €,16.22 €,2.17 €,2.28 €,7.48 €,Edit,1.33 €,37.44 €,2.50 €,2.91 €,24.96 €,2.25 €,"19,215.97 €","17,046.31 €",Edit,178.98 €,0.19 €,59.07 €,Edit,32.55 €,19.13 €,8.32 €,Edit,804.29 €,"5,407.67 €",Edit,35.42 €,35.77 €,65.96 €,80.82 €,Edit,888.67 €,757.07 €,"1,481.91 €","1,313.29 €",Edit,250.28 €,153.49 €,Edit,"2,442.61 €",3.85,United States
