City,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid range Restaurant, Three course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Cappuccino (regular),Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle),Markets,"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid Range),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Cigarettes 20 Pack (Marlboro),Transportation,One way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Sports And Leisure,"Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",Clothing And Shoes,1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid Range),1 Pair of Men Leather Business Shoes,Rent Per Month,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Salaries And Financing,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed Rate"
Vantaa,15.00 €,70.00 €,8.00 €,6.00 €,5.25 €,3.75 €,2.45 €,1.57 €,Edit,0.86 €,2.22 €,2.33 €,2.19 €,9.32 €,7.98 €,16.65 €,2.16 €,1.66 €,1.81 €,2.96 €,0.97 €,1.57 €,2.33 €,1.64 €,11.00 €,2.18 €,3.00 €,7.90 €,Edit,2.80 €,59.70 €,5.90 €,1.50 €,46.02 €,1.53 €,"22,000.00 €","24,462.40 €",Edit,162.92 €,0.07 €,28.35 €,Edit,46.14 €,34.73 €,13.00 €,Edit,279.71 €,"9,000.00 €",Edit,97.56 €,37.32 €,86.33 €,123.62 €,Edit,812.86 €,655.00 €,"1,376.86 €","1,113.33 €",Edit,"4,051.88 €","3,115.00 €",Edit,"1,928.42 €",1.61
Linz,14.00 €,60.00 €,8.00 €,4.20 €,4.20 €,3.26 €,2.94 €,2.27 €,Edit,1.12 €,1.89 €,2.13 €,2.60 €,10.88 €,11.53 €,17.36 €,2.72 €,1.59 €,2.74 €,2.30 €,1.28 €,1.52 €,1.58 €,0.52 €,9.00 €,1.35 €,1.38 €,5.50 €,Edit,2.30 €,45.30 €,5.20 €,1.27 €,25.20 €,1.21 €,"21,500.00 €","20,458.70 €",Edit,182.38 €,0.07 €,29.75 €,Edit,47.50 €,20.00 €,11.00 €,Edit,342.86 €,"9,833.33 €",Edit,88.82 €,35.11 €,91.47 €,114.38 €,Edit,671.33 €,552.22 €,"1,404.12 €",993.53 €,Edit,"4,101.25 €","3,000.00 €",Edit,"1,999.75 €",2.27
Carolina,12.48 €,58.24 €,6.24 €,1.77 €,2.50 €,2.60 €,1.04 €,0.94 €,Edit,1.78 €,1.83 €,1.56 €,2.20 €,6.33 €,8.07 €,5.47 €,4.33 €,1.63 €,3.43 €,1.23 €,3.39 €,3.61 €,2.22 €,1.25 €,8.32 €,1.49 €,3.33 €,7.70 €,Edit,?,?,?,?,24.96 €,0.63 €,"18,302.90 €","19,689.48 €",Edit,128.95 €,0.08 €,55.74 €,Edit,12.48 €,12.04 €,5.82 €,Edit,263.45 €,"2,620.64 €",Edit,31.89 €,42.98 €,67.94 €,97.06 €,Edit,?,?,?,?,Edit,?,?,Edit,"1,871.89 €",6.00
Liege,13.50 €,62.50 €,8.00 €,3.75 €,3.00 €,2.42 €,1.95 €,1.95 €,Edit,0.85 €,1.24 €,1.76 €,2.22 €,22.67 €,8.81 €,14.33 €,2.67 €,1.61 €,2.20 €,2.53 €,1.88 €,1.18 €,1.52 €,0.81 €,7.00 €,1.41 €,2.17 €,6.88 €,Edit,2.50 €,37.50 €,2.25 €,1.40 €,30.00 €,1.42 €,"22,000.00 €","26,270.00 €",Edit,203.33 €,0.24 €,43.12 €,Edit,24.50 €,16.75 €,9.00 €,Edit,462.50 €,"10,000.00 €",Edit,98.62 €,36.67 €,84.38 €,115.71 €,Edit,616.25 €,508.33 €,"1,075.00 €",825.00 €,Edit,"2,260.00 €","1,625.00 €",Edit,"1,888.69 €",1.43
Irvine,12.48 €,64.27 €,7.49 €,5.82 €,6.24 €,3.95 €,1.92 €,1.65 €,Edit,0.81 €,3.17 €,4.04 €,2.70 €,9.63 €,8.57 €,9.94 €,4.58 €,1.24 €,2.60 €,4.12 €,1.83 €,1.83 €,1.30 €,1.53 €,11.65 €,1.73 €,1.39 €,6.66 €,Edit,1.66 €,87.35 €,2.91 €,1.42 €,41.60 €,0.79 €,"20,452.66 €","17,964.46 €",Edit,119.23 €,0.12 €,56.12 €,Edit,27.33 €,30.50 €,14.56 €,Edit,"1,164.73 €","15,529.73 €",Edit,41.57 €,28.52 €,69.67 €,93.30 €,Edit,"1,867.25 €","1,658.99 €","2,968.93 €","2,521.00 €",Edit,"4,672.85 €","4,066.01 €",Edit,"4,717.55 €",3.96
Klaipeda,7.50 €,30.00 €,5.00 €,3.00 €,3.00 €,2.25 €,1.74 €,1.36 €,Edit,0.86 €,0.69 €,1.54 €,1.37 €,6.97 €,4.86 €,7.83 €,0.70 €,1.01 €,1.15 €,1.28 €,0.42 €,0.46 €,1.60 €,0.70 €,7.00 €,1.04 €,1.38 €,4.00 €,Edit,1.00 €,27.50 €,1.00 €,0.60 €,12.50 €,1.20 €,"19,000.00 €","18,333.33 €",Edit,158.02 €,0.06 €,12.67 €,Edit,36.12 €,15.25 €,7.00 €,Edit,257.50 €,"4,411.67 €",Edit,83.33 €,39.00 €,80.00 €,118.75 €,Edit,338.75 €,218.75 €,560.00 €,333.75 €,Edit,"1,900.00 €","1,266.67 €",Edit,928.25 €,2.12
Odense,17.48 €,67.24 €,10.09 €,5.38 €,5.04 €,4.94 €,2.80 €,2.23 €,Edit,1.23 €,2.64 €,1.81 €,3.19 €,7.37 €,8.24 €,10.96 €,2.00 €,2.11 €,2.39 €,3.77 €,1.55 €,1.30 €,1.43 €,1.05 €,8.07 €,1.76 €,2.34 €,7.53 €,Edit,3.23 €,52.11 €,5.92 €,2.16 €,44.95 €,1.46 €,"33,622.18 €","36,732.40 €",Edit,177.56 €,0.07 €,29.78 €,Edit,32.37 €,17.32 €,15.13 €,Edit,274.02 €,"5,995.96 €",Edit,83.67 €,31.32 €,85.40 €,110.11 €,Edit,711.67 €,545.43 €,"1,395.32 €","1,136.43 €",Edit,"2,740.21 €","2,017.33 €",Edit,"2,495.51 €",1.88
Cork,15.00 €,70.00 €,8.50 €,5.00 €,5.20 €,3.20 €,1.84 €,1.50 €,Edit,0.94 €,1.73 €,1.52 €,3.07 €,9.40 €,8.82 €,10.77 €,2.44 €,1.58 €,2.33 €,2.56 €,1.69 €,1.15 €,0.94 €,1.36 €,10.00 €,2.62 €,3.19 €,13.65 €,Edit,2.40 €,84.00 €,4.00 €,1.36 €,23.40 €,1.41 €,"26,500.00 €","27,625.00 €",Edit,147.06 €,0.31 €,44.45 €,Edit,45.78 €,17.44 €,11.75 €,Edit,960.00 €,"8,360.00 €",Edit,73.16 €,34.77 €,79.40 €,90.40 €,Edit,"1,182.81 €",984.31 €,"1,918.28 €","1,567.86 €",Edit,"3,310.01 €","2,626.62 €",Edit,"2,493.05 €",3.16
Almeria,10.00 €,35.50 €,8.00 €,2.50 €,3.00 €,1.49 €,1.93 €,1.23 €,Edit,0.80 €,0.79 €,1.05 €,1.52 €,11.88 €,5.25 €,9.00 €,1.80 €,1.33 €,1.27 €,1.11 €,0.89 €,0.82 €,0.80 €,0.52 €,5.00 €,0.89 €,1.77 €,5.50 €,Edit,1.05 €,32.55 €,1.47 €,0.81 €,25.12 €,1.25 €,"18,350.00 €","22,475.00 €",Edit,108.62 €,0.16 €,42.20 €,Edit,35.00 €,10.00 €,7.00 €,Edit,358.33 €,"6,566.67 €",Edit,82.17 €,29.86 €,75.00 €,107.50 €,Edit,457.14 €,395.83 €,697.14 €,575.00 €,Edit,"1,357.50 €",948.75 €,Edit,"1,260.00 €",3.17
Prato,15.00 €,50.00 €,8.00 €,5.00 €,4.75 €,1.50 €,2.56 €,1.24 €,Edit,1.17 €,1.56 €,2.08 €,3.35 €,13.50 €,9.13 €,15.25 €,2.17 €,1.77 €,2.23 €,2.03 €,1.32 €,1.44 €,0.94 €,0.40 €,5.20 €,1.17 €,1.78 €,5.50 €,Edit,1.75 €,33.00 €,3.35 €,0.99 €,24.00 €,1.50 €,"23,000.00 €","19,677.90 €",Edit,150.37 €,0.03 €,30.00 €,Edit,66.67 €,15.00 €,8.50 €,Edit,480.00 €,"11,400.00 €",Edit,78.53 €,29.34 €,81.33 €,95.00 €,Edit,900.00 €,596.67 €,937.50 €,726.67 €,Edit,"2,000.00 €","1,500.00 €",Edit,"1,200.00 €",1.79
Little Rock,12.48 €,41.60 €,5.82 €,3.74 €,4.99 €,3.80 €,1.50 €,1.06 €,Edit,0.68 €,1.98 €,2.37 €,1.73 €,9.22 €,5.49 €,6.92 €,4.08 €,1.09 €,2.27 €,2.78 €,2.01 €,1.84 €,1.14 €,1.45 €,7.49 €,1.66 €,2.08 €,5.82 €,Edit,1.12 €,29.95 €,4.16 €,1.03 €,14.56 €,0.47 €,"19,134.85 €","16,822.03 €",Edit,130.65 €,0.08 €,51.03 €,Edit,18.42 €,10.40 €,9.98 €,Edit,442.32 €,"8,985.06 €",Edit,29.12 €,26.98 €,56.16 €,78.52 €,Edit,666.60 €,577.17 €,"1,149.13 €",915.14 €,Edit,"1,837.62 €",685.53 €,Edit,"2,765.40 €",4.65
Milton Keynes,13.79 €,57.47 €,5.89 €,4.02 €,3.74 €,3.26 €,1.59 €,1.28 €,Edit,1.11 €,1.20 €,0.94 €,2.11 €,6.70 €,6.88 €,8.74 €,2.30 €,1.09 €,2.13 €,3.06 €,1.32 €,1.14 €,0.62 €,1.09 €,8.05 €,2.10 €,2.00 €,13.79 €,Edit,2.87 €,68.97 €,3.45 €,1.15 €,20.69 €,1.43 €,"22,989.28 €","22,516.47 €",Edit,221.60 €,0.13 €,34.42 €,Edit,28.75 €,20.41 €,13.22 €,Edit,"1,252.39 €","15,877.55 €",Edit,62.73 €,32.28 €,71.19 €,102.49 €,Edit,986.37 €,792.49 €,"1,536.19 €","1,330.09 €",Edit,"5,126.80 €","4,320.07 €",Edit,"2,029.76 €",2.58
Lille,14.00 €,40.00 €,8.00 €,5.50 €,5.00 €,3.28 €,2.64 €,1.61 €,Edit,0.98 €,1.69 €,1.56 €,3.03 €,13.57 €,10.68 €,11.82 €,2.41 €,1.94 €,2.38 €,2.30 €,1.46 €,1.61 €,1.22 €,0.33 €,6.50 €,1.60 €,2.55 €,10.00 €,Edit,1.65 €,59.00 €,2.20 €,1.90 €,28.20 €,1.53 €,"25,000.00 €","22,500.00 €",Edit,114.46 €,0.05 €,26.33 €,Edit,26.14 €,30.00 €,12.00 €,Edit,539.58 €,"5,000.00 €",Edit,86.86 €,32.57 €,70.71 €,95.00 €,Edit,643.75 €,509.09 €,"1,507.14 €",966.25 €,Edit,"3,220.00 €","2,575.00 €",Edit,"1,999.00 €",2.03
Reggio Di Calabria,7.00 €,40.00 €,7.00 €,4.00 €,3.00 €,1.17 €,1.50 €,0.67 €,Edit,0.91 €,1.18 €,1.65 €,1.96 €,10.29 €,6.81 €,11.00 €,1.79 €,1.31 €,0.94 €,1.10 €,0.86 €,1.08 €,1.14 €,0.25 €,4.75 €,1.04 €,1.46 €,5.50 €,Edit,1.50 €,41.00 €,10.00 €,0.84 €,19.00 €,1.49 €,"22,000.00 €","21,200.00 €",Edit,164.61 €,0.12 €,25.00 €,Edit,41.67 €,?,8.00 €,Edit,287.50 €,"8,166.67 €",Edit,50.17 €,30.94 €,82.50 €,95.62 €,Edit,400.00 €,300.00 €,600.00 €,400.00 €,Edit,?,?,Edit,"1,000.00 €",2.00
Uppsala,11.74 €,68.76 €,7.86 €,6.88 €,7.12 €,3.28 €,2.32 €,1.89 €,Edit,1.07 €,2.17 €,2.55 €,2.78 €,7.69 €,10.11 €,17.76 €,2.57 €,1.96 €,2.16 €,3.13 €,1.08 €,1.10 €,1.90 €,1.16 €,9.73 €,1.99 €,2.09 €,6.88 €,Edit,2.55 €,86.94 €,6.14 €,2.36 €,57.66 €,1.51 €,"27,406.84 €","19,887.15 €",Edit,87.23 €,0.06 €,31.23 €,Edit,35.61 €,22.59 €,13.75 €,Edit,131.09 €,0.00 €,Edit,79.99 €,30.87 €,66.31 €,132.61 €,Edit,809.87 €,670.16 €,"1,369.11 €","1,017.41 €",Edit,"4,981.79 €","3,225.30 €",Edit,"2,504.93 €",3.05
Saarbrucken,12.00 €,45.00 €,8.30 €,3.50 €,3.50 €,2.60 €,2.30 €,2.33 €,Edit,0.91 €,1.48 €,2.06 €,2.26 €,8.88 €,6.93 €,9.92 €,2.32 €,1.43 €,1.96 €,2.34 €,0.89 €,1.29 €,0.84 €,0.32 €,4.99 €,0.56 €,1.22 €,6.40 €,Edit,2.60 €,65.00 €,3.50 €,1.90 €,24.00 €,1.47 €,"24,656.00 €","19,645.00 €",Edit,239.00 €,0.17 €,33.25 €,Edit,25.62 €,18.00 €,10.00 €,Edit,212.67 €,?,Edit,73.00 €,33.33 €,75.71 €,98.33 €,Edit,540.38 €,474.71 €,914.29 €,815.00 €,Edit,"2,640.00 €","2,076.67 €",Edit,"2,185.71 €",1.84
Mainz,8.00 €,50.00 €,8.00 €,3.90 €,2.80 €,3.02 €,2.70 €,2.00 €,Edit,0.81 €,1.18 €,2.16 €,2.06 €,7.85 €,8.20 €,10.46 €,2.29 €,1.54 €,1.96 €,2.32 €,1.25 €,1.32 €,0.74 €,0.33 €,5.00 €,0.66 €,1.26 €,6.40 €,Edit,2.80 €,81.50 €,3.00 €,2.40 €,25.20 €,1.41 €,"19,500.00 €",?,Edit,272.19 €,0.10 €,30.83 €,Edit,38.33 €,15.00 €,14.00 €,Edit,470.00 €,?,Edit,90.00 €,57.25 €,81.25 €,86.25 €,Edit,867.50 €,687.50 €,"1,400.00 €","1,066.67 €",Edit,"4,150.00 €","3,500.00 €",Edit,"2,950.66 €",2.26
Amarillo,5.82 €,33.28 €,5.28 €,2.50 €,3.33 €,2.53 €,1.34 €,1.16 €,Edit,0.59 €,2.13 €,2.38 €,1.03 €,11.00 €,12.17 €,10.09 €,2.60 €,1.06 €,3.64 €,2.74 €,2.74 €,1.74 €,0.85 €,0.83 €,5.20 €,1.68 €,1.83 €,6.66 €,Edit,4.16 €,24.96 €,2.50 €,0.90 €,12.48 €,0.46 €,"15,807.05 €","15,183.09 €",Edit,82.13 €,0.02 €,46.28 €,Edit,18.01 €,5.55 €,8.32 €,Edit,339.71 €,"4,878.00 €",Edit,20.80 €,17.68 €,46.59 €,42.29 €,Edit,465.89 €,363.67 €,673.14 €,608.43 €,Edit,?,?,Edit,"2,544.10 €",4.27
Sunderland,13.79 €,48.85 €,6.90 €,4.02 €,4.25 €,2.82 €,1.38 €,1.00 €,Edit,1.03 €,1.15 €,1.32 €,1.91 €,4.30 €,6.08 €,9.20 €,1.97 €,1.46 €,1.72 €,1.78 €,1.26 €,1.06 €,0.80 €,1.03 €,7.47 €,2.19 €,2.30 €,12.07 €,Edit,3.33 €,91.96 €,2.53 €,1.11 €,13.79 €,1.46 €,"13,218.84 €","20,920.25 €",Edit,136.02 €,0.04 €,41.87 €,Edit,35.92 €,11.49 €,9.20 €,Edit,873.59 €,"11,034.86 €",Edit,78.00 €,35.06 €,71.84 €,64.66 €,Edit,613.05 €,459.79 €,938.73 €,603.47 €,Edit,"2,873.66 €","2,298.93 €",Edit,"1,379.36 €",2.84
Santander,12.00 €,42.50 €,8.00 €,2.50 €,2.75 €,1.97 €,1.63 €,1.18 €,Edit,0.76 €,0.92 €,1.17 €,1.71 €,10.00 €,6.29 €,11.80 €,1.80 €,1.70 €,1.31 €,1.75 €,0.83 €,1.01 €,0.76 €,0.53 €,5.00 €,1.10 €,1.53 €,5.00 €,Edit,1.30 €,34.50 €,2.00 €,1.30 €,22.00 €,1.34 €,"20,500.00 €","19,333.33 €",Edit,151.50 €,0.31 €,41.75 €,Edit,35.00 €,10.00 €,7.10 €,Edit,250.00 €,"12,000.00 €",Edit,79.00 €,20.00 €,66.67 €,79.00 €,Edit,507.14 €,411.43 €,828.57 €,655.00 €,Edit,"2,333.33 €","1,650.00 €",Edit,"1,550.00 €",2.25
Ponce,9.15 €,49.92 €,5.82 €,2.50 €,2.50 €,2.43 €,0.97 €,0.99 €,Edit,1.30 €,1.89 €,1.70 €,2.29 €,5.39 €,5.82 €,4.82 €,3.33 €,1.55 €,2.08 €,2.08 €,1.54 €,2.03 €,2.24 €,1.27 €,9.57 €,1.26 €,1.87 €,8.22 €,Edit,1.66 €,24.96 €,3.33 €,1.66 €,24.96 €,0.63 €,"20,798.75 €","19,999.66 €",Edit,161.90 €,0.08 €,47.14 €,Edit,19.13 €,12.48 €,6.66 €,Edit,277.32 €,"5,906.85 €",Edit,40.19 €,33.28 €,71.83 €,80.46 €,Edit,519.97 €,395.18 €,804.22 €,790.35 €,Edit,"1,432.81 €","1,164.15 €",Edit,"1,220.19 €",4.12
Modena,15.00 €,50.00 €,8.00 €,4.75 €,5.00 €,1.50 €,2.56 €,1.14 €,Edit,1.17 €,2.17 €,2.10 €,3.03 €,13.25 €,11.75 €,15.25 €,2.37 €,1.77 €,2.23 €,2.17 €,1.67 €,1.87 €,1.57 €,0.29 €,5.00 €,1.55 €,1.88 €,5.60 €,Edit,1.50 €,31.00 €,3.35 €,1.10 €,24.00 €,1.58 €,"25,818.35 €","19,677.90 €",Edit,150.37 €,0.03 €,30.38 €,Edit,59.38 €,17.75 €,8.50 €,Edit,480.00 €,"14,500.00 €",Edit,81.00 €,31.23 €,93.75 €,95.00 €,Edit,600.00 €,500.00 €,"1,033.33 €",783.33 €,Edit,"2,575.00 €","1,450.00 €",Edit,"1,521.43 €",1.93
Crawley,17.24 €,56.32 €,5.75 €,4.60 €,5.17 €,3.05 €,1.21 €,1.03 €,Edit,1.06 €,1.26 €,0.74 €,2.82 €,5.75 €,6.52 €,9.96 €,2.49 €,1.36 €,1.69 €,1.54 €,1.63 €,1.09 €,1.00 €,1.09 €,9.20 €,2.11 €,2.03 €,12.30 €,Edit,2.87 €,82.04 €,2.99 €,1.95 €,33.10 €,1.46 €,"24,107.14 €","21,456.66 €",Edit,266.93 €,0.14 €,38.94 €,Edit,31.03 €,17.64 €,13.79 €,Edit,"1,289.70 €","18,448.90 €",Edit,74.43 €,38.32 €,69.93 €,77.30 €,Edit,"1,091.99 €",954.06 €,"1,681.09 €","1,436.83 €",Edit,"4,198.42 €","3,641.50 €",Edit,"1,960.35 €",3.75
Knoxville,10.82 €,41.60 €,6.66 €,2.91 €,3.54 €,3.57 €,1.21 €,1.13 €,Edit,0.69 €,2.05 €,2.63 €,1.65 €,9.03 €,5.86 €,9.01 €,4.50 €,1.10 €,3.55 €,3.05 €,2.19 €,1.79 €,1.10 €,1.53 €,9.98 €,2.40 €,3.22 €,4.85 €,Edit,1.25 €,37.44 €,1.66 €,1.03 €,12.48 €,0.49 €,"18,302.90 €","17,435.31 €",Edit,120.04 €,0.15 €,55.20 €,Edit,21.74 €,6.24 €,9.98 €,Edit,436.77 €,"11,231.32 €",Edit,39.56 €,31.97 €,83.08 €,66.87 €,Edit,915.14 €,693.29 €,"1,693.61 €","1,044.56 €",Edit,"2,271.59 €",844.88 €,Edit,"2,500.52 €",3.75
Newport News,10.40 €,43.26 €,6.11 €,2.91 €,3.33 €,3.26 €,1.08 €,0.94 €,Edit,0.58 €,1.83 €,0.92 €,1.25 €,9.55 €,3.30 €,9.17 €,3.64 €,0.94 €,2.75 €,3.66 €,1.15 €,1.60 €,1.18 €,0.83 €,9.98 €,2.29 €,2.20 €,9.57 €,Edit,1.87 €,58.24 €,2.29 €,1.09 €,14.98 €,0.46 €,"17,042.50 €","16,891.91 €",Edit,126.95 €,0.13 €,51.12 €,Edit,43.47 €,?,9.31 €,Edit,249.58 €,"5,823.65 €",Edit,35.22 €,30.37 €,72.99 €,67.94 €,Edit,910.99 €,753.95 €,"1,386.58 €","1,019.14 €",Edit,"6,578.96 €","1,143.26 €",Edit,"2,183.87 €",3.67
Bacau,5.08 €,20.30 €,4.06 €,1.22 €,1.73 €,1.47 €,1.13 €,0.96 €,Edit,0.83 €,0.50 €,1.02 €,1.74 €,5.33 €,4.30 €,5.08 €,0.69 €,1.16 €,1.06 €,1.30 €,0.41 €,0.46 €,0.45 €,0.55 €,4.06 €,0.91 €,1.30 €,3.86 €,Edit,0.45 €,12.18 €,0.51 €,0.51 €,5.08 €,1.07 €,"15,960.00 €","16,241.89 €",Edit,121.81 €,0.04 €,7.34 €,Edit,23.09 €,17.60 €,5.08 €,Edit,269.01 €,"5,684.66 €",Edit,48.73 €,30.12 €,49.40 €,74.61 €,Edit,208.54 €,166.74 €,349.31 €,302.38 €,Edit,"1,042.29 €",826.23 €,Edit,468.40 €,4.47
Almere,15.00 €,67.00 €,7.97 €,4.00 €,4.40 €,3.04 €,2.75 €,2.17 €,Edit,0.80 €,1.98 €,1.99 €,1.96 €,11.09 €,7.60 €,15.87 €,1.82 €,1.31 €,1.19 €,1.97 €,1.28 €,1.30 €,0.78 €,0.60 €,5.99 €,1.18 €,1.69 €,8.00 €,Edit,3.00 €,69.00 €,3.25 €,2.48 €,48.00 €,1.59 €,"22,752.50 €","15,000.00 €",Edit,166.36 €,0.24 €,36.88 €,Edit,21.00 €,18.50 €,11.00 €,Edit,"1,393.00 €","5,145.25 €",Edit,74.67 €,27.50 €,99.67 €,118.33 €,Edit,816.67 €,766.67 €,"1,380.00 €","1,196.67 €",Edit,"3,006.67 €","2,547.75 €",Edit,"2,914.29 €",2.08
Salt Lake City,9.98 €,49.92 €,6.24 €,4.16 €,5.41 €,3.85 €,1.50 €,1.29 €,Edit,0.58 €,2.16 €,2.62 €,1.81 €,8.18 €,6.49 €,9.91 €,2.99 €,1.12 €,2.05 €,2.64 €,1.49 €,1.76 €,1.19 €,1.82 €,9.98 €,1.54 €,2.03 €,6.66 €,Edit,2.08 €,69.88 €,2.37 €,1.51 €,31.20 €,0.55 €,"17,634.01 €","19,624.35 €",Edit,109.37 €,0.15 €,51.18 €,Edit,26.09 €,6.10 €,9.98 €,Edit,685.17 €,"12,035.54 €",Edit,33.91 €,29.67 €,61.46 €,76.36 €,Edit,"1,077.00 €",827.56 €,"1,707.69 €","1,287.54 €",Edit,"5,728.34 €","2,356.03 €",Edit,"3,408.59 €",3.53
Jackson,9.98 €,49.92 €,6.66 €,3.33 €,4.16 €,3.54 €,1.68 €,1.07 €,Edit,1.01 €,3.36 €,3.67 €,1.36 €,10.99 €,8.71 €,7.30 €,6.72 €,1.26 €,4.43 €,5.17 €,3.72 €,3.34 €,1.80 €,2.91 €,11.23 €,2.23 €,3.05 €,4.78 €,Edit,0.83 €,41.60 €,2.50 €,2.01 €,19.97 €,0.43 €,"20,798.75 €","18,857.53 €",Edit,180.69 €,0.15 €,65.59 €,Edit,24.96 €,9.15 €,9.15 €,Edit,628.12 €,"3,743.77 €",Edit,40.88 €,22.04 €,62.87 €,55.57 €,Edit,790.35 €,694.68 €,984.47 €,940.10 €,Edit,"2,414.14 €",533.64 €,Edit,"2,031.78 €",4.32
Manama,6.62 €,33.10 €,5.52 €,6.62 €,6.62 €,3.72 €,0.63 €,0.29 €,Edit,1.27 €,1.02 €,1.99 €,2.13 €,4.58 €,4.65 €,6.34 €,1.88 €,1.41 €,1.63 €,0.99 €,0.86 €,0.74 €,1.50 €,0.48 €,13.24 €,2.33 €,3.69 €,4.85 €,Edit,0.66 €,33.10 €,4.41 €,2.21 €,8.83 €,0.40 €,"17,652.24 €","16,916.73 €",Edit,170.07 €,0.09 €,51.54 €,Edit,54.39 €,35.86 €,7.72 €,Edit,239.04 €,"4,571.19 €",Edit,32.49 €,33.73 €,64.29 €,57.63 €,Edit,763.90 €,555.84 €,"1,379.08 €",992.94 €,Edit,"2,323.75 €","1,525.82 €",Edit,"1,213.59 €",7.19
Providence,11.65 €,56.16 €,7.90 €,3.33 €,4.99 €,3.01 €,1.56 €,1.33 €,Edit,0.76 €,2.14 €,4.81 €,2.01 €,8.12 €,5.61 €,13.24 €,4.46 €,1.27 €,4.28 €,6.11 €,3.54 €,2.62 €,2.29 €,2.50 €,10.82 €,1.69 €,1.37 €,9.15 €,Edit,1.66 €,58.24 €,2.91 €,1.81 €,24.96 €,0.52 €,"21,137.77 €","17,295.96 €",Edit,171.21 €,0.06 €,71.03 €,Edit,24.96 €,6.45 €,10.50 €,Edit,953.28 €,"9,595.16 €",Edit,35.89 €,26.15 €,67.91 €,84.98 €,Edit,"1,488.88 €","1,440.73 €","1,613.15 €","1,384.73 €",Edit,"2,850.03 €","1,286.12 €",Edit,"2,631.46 €",4.50
Bielsko biala,5.48 €,26.32 €,4.39 €,1.75 €,2.19 €,1.83 €,1.01 €,0.80 €,Edit,0.54 €,0.75 €,0.60 €,1.50 €,5.10 €,3.44 €,5.99 €,0.74 €,0.88 €,0.88 €,1.10 €,0.44 €,0.44 €,0.49 €,0.40 €,3.51 €,0.65 €,0.81 €,3.73 €,Edit,0.66 €,21.93 €,1.10 €,0.48 €,7.90 €,1.10 €,"17,238.73 €","16,741.60 €",Edit,149.46 €,0.04 €,10.93 €,Edit,17.47 €,9.36 €,5.48 €,Edit,194.65 €,?,Edit,64.04 €,31.53 €,52.27 €,61.41 €,Edit,307.05 €,224.81 €,471.54 €,337.21 €,Edit,"1,115.91 €",986.95 €,Edit,798.33 €,3.58
Bharuch,1.57 €,4.49 €,3.37 €,2.13 €,4.49 €,0.97 €,0.31 €,0.15 €,Edit,0.60 €,0.35 €,0.52 €,0.71 €,3.50 €,2.66 €,3.93 €,1.12 €,0.36 €,0.60 €,0.36 €,0.31 €,0.42 €,0.20 €,0.26 €,6.18 €,1.65 €,2.53 €,3.37 €,Edit,0.34 €,7.86 €,0.25 €,0.17 €,1.12 €,0.83 €,"10,105.27 €","14,596.50 €",Edit,21.89 €,0.01 €,8.39 €,Edit,16.22 €,11.23 €,2.41 €,Edit,49.12 €,952.14 €,Edit,26.42 €,28.07 €,42.11 €,28.74 €,Edit,80.47 €,80.70 €,167.58 €,148.37 €,Edit,441.85 €,"1,838.47 €",Edit,418.25 €,8.48
